add_suspect,added_death,cumulative_death,cumulative_diagnosis,cumulative_suspect,name,new_diagnosis,province,published_at
0,0,0,0,0,吉林省,0,吉林省,2020-01-18
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-18
0,0,0,0,0,上海市,0,上海市,2020-01-18
0,0,0,0,0,江苏省,0,江苏省,2020-01-18
0,0,0,0,0,浙江省,0,浙江省,2020-01-18
0,0,0,0,0,安徽省,0,安徽省,2020-01-18
0,0,0,0,0,福建省,0,福建省,2020-01-18
0,0,0,0,0,江西省,0,江西省,2020-01-18
0,0,0,0,0,山东省,0,山东省,2020-01-18
0,0,0,0,0,河南省,0,河南省,2020-01-18
0,1,3,121,0,湖北省,59,湖北省,2020-01-18
0,0,0,0,0,湖南省,0,湖南省,2020-01-18
0,0,0,0,0,广东省,0,广东省,2020-01-18
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-18
0,0,0,0,0,海南省,0,海南省,2020-01-18
0,0,0,0,0,重庆市,0,重庆市,2020-01-18
0,0,0,0,0,四川省,0,四川省,2020-01-18
0,0,0,0,0,贵州省,0,贵州省,2020-01-18
0,0,0,0,0,云南省,0,云南省,2020-01-18
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-18
0,0,0,0,0,陕西省,0,陕西省,2020-01-18
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-18
0,0,0,0,0,青海省,0,青海省,2020-01-18
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-18
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-18
0,0,0,0,0,台湾省,0,台湾省,2020-01-18
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-18
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-18
0,0,0,0,0,北京市,0,北京市,2020-01-17
0,0,0,0,0,天津市,0,天津市,2020-01-17
0,0,0,0,0,河北省,0,河北省,2020-01-17
0,0,0,0,0,山西省,0,山西省,2020-01-17
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-17
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-17
0,0,0,0,0,吉林省,0,吉林省,2020-01-17
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-17
0,0,0,0,0,上海市,0,上海市,2020-01-17
0,0,0,0,0,江苏省,0,江苏省,2020-01-17
0,0,0,0,0,浙江省,0,浙江省,2020-01-17
0,0,0,0,0,安徽省,0,安徽省,2020-01-17
0,0,0,0,0,福建省,0,福建省,2020-01-17
0,0,0,0,0,江西省,0,江西省,2020-01-17
0,0,0,0,0,山东省,0,山东省,2020-01-17
0,0,0,0,0,河南省,0,河南省,2020-01-17
0,0,2,62,0,湖北省,17,湖北省,2020-01-17
0,0,0,0,0,湖南省,0,湖南省,2020-01-17
0,0,0,0,0,广东省,0,广东省,2020-01-17
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-17
0,0,0,0,0,海南省,0,海南省,2020-01-17
0,0,0,0,0,重庆市,0,重庆市,2020-01-17
0,0,0,0,0,四川省,0,四川省,2020-01-17
0,0,0,0,0,贵州省,0,贵州省,2020-01-17
0,0,0,0,0,云南省,0,云南省,2020-01-17
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-17
0,0,0,0,0,陕西省,0,陕西省,2020-01-17
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-17
0,0,0,0,0,青海省,0,青海省,2020-01-17
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-17
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-17
0,0,0,0,0,台湾省,0,台湾省,2020-01-17
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-17
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-17
0,0,0,0,0,北京市,0,北京市,2020-01-16
0,0,0,0,0,天津市,0,天津市,2020-01-16
0,0,0,0,0,河北省,0,河北省,2020-01-16
0,0,0,0,0,山西省,0,山西省,2020-01-16
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-16
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-16
0,0,0,0,0,吉林省,0,吉林省,2020-01-16
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-16
0,0,0,0,0,上海市,0,上海市,2020-01-16
0,0,0,0,0,江苏省,0,江苏省,2020-01-16
0,0,0,0,0,浙江省,0,浙江省,2020-01-16
0,0,0,0,0,安徽省,0,安徽省,2020-01-16
0,0,0,0,0,福建省,0,福建省,2020-01-16
0,0,0,0,0,江西省,0,江西省,2020-01-16
0,0,0,0,0,山东省,0,山东省,2020-01-16
0,0,0,0,0,河南省,0,河南省,2020-01-16
0,1,2,45,0,湖北省,4,湖北省,2020-01-16
0,0,0,0,0,湖南省,0,湖南省,2020-01-16
0,0,0,0,0,广东省,0,广东省,2020-01-16
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-16
0,0,0,0,0,海南省,0,海南省,2020-01-16
0,0,0,0,0,重庆市,0,重庆市,2020-01-16
0,0,0,0,0,四川省,0,四川省,2020-01-16
0,0,0,0,0,贵州省,0,贵州省,2020-01-16
0,0,0,0,0,云南省,0,云南省,2020-01-16
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-16
0,0,0,0,0,陕西省,0,陕西省,2020-01-16
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-16
0,0,0,0,0,青海省,0,青海省,2020-01-16
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-16
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-16
0,0,0,0,0,台湾省,0,台湾省,2020-01-16
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-16
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-16
0,0,0,0,0,北京市,0,北京市,2020-01-14
0,0,0,0,0,天津市,0,天津市,2020-01-14
0,0,0,0,0,河北省,0,河北省,2020-01-14
0,0,0,0,0,山西省,0,山西省,2020-01-14
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-14
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-14
0,0,0,0,0,吉林省,0,吉林省,2020-01-14
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-14
0,0,0,0,0,上海市,0,上海市,2020-01-14
0,0,0,0,0,江苏省,0,江苏省,2020-01-14
0,0,0,0,0,浙江省,0,浙江省,2020-01-14
0,0,0,0,0,安徽省,0,安徽省,2020-01-14
0,0,0,0,0,福建省,0,福建省,2020-01-14
0,0,0,0,0,江西省,0,江西省,2020-01-14
0,0,0,0,0,山东省,0,山东省,2020-01-14
0,0,0,0,0,河南省,0,河南省,2020-01-14
0,0,1,41,0,湖北省,0,湖北省,2020-01-14
0,0,0,0,0,湖南省,0,湖南省,2020-01-14
0,0,0,0,0,广东省,0,广东省,2020-01-14
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-14
0,0,0,0,0,海南省,0,海南省,2020-01-14
0,0,0,0,0,重庆市,0,重庆市,2020-01-14
0,0,0,0,0,四川省,0,四川省,2020-01-14
0,0,0,0,0,贵州省,0,贵州省,2020-01-14
0,0,0,0,0,云南省,0,云南省,2020-01-14
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-14
0,0,0,0,0,陕西省,0,陕西省,2020-01-14
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-14
0,0,0,0,0,青海省,0,青海省,2020-01-14
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-14
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-14
0,0,0,0,0,台湾省,0,台湾省,2020-01-14
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-14
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-14
0,0,0,0,0,北京市,0,北京市,2020-01-13
0,0,0,0,0,天津市,0,天津市,2020-01-13
0,0,0,0,0,河北省,0,河北省,2020-01-13
0,0,0,0,0,山西省,0,山西省,2020-01-13
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-13
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-13
0,0,0,0,0,吉林省,0,吉林省,2020-01-13
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-13
0,0,0,0,0,上海市,0,上海市,2020-01-13
0,0,0,0,0,江苏省,0,江苏省,2020-01-13
0,0,0,0,0,浙江省,0,浙江省,2020-01-13
0,0,0,0,0,安徽省,0,安徽省,2020-01-13
0,0,0,0,0,福建省,0,福建省,2020-01-13
0,0,0,0,0,江西省,0,江西省,2020-01-13
0,0,0,0,0,山东省,0,山东省,2020-01-13
0,0,0,0,0,河南省,0,河南省,2020-01-13
0,0,1,41,0,湖北省,0,湖北省,2020-01-13
0,0,0,0,0,湖南省,0,湖南省,2020-01-13
0,0,0,0,0,广东省,0,广东省,2020-01-13
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-13
0,0,0,0,0,海南省,0,海南省,2020-01-13
0,0,0,0,0,重庆市,0,重庆市,2020-01-13
0,0,0,0,0,四川省,0,四川省,2020-01-13
0,0,0,0,0,贵州省,0,贵州省,2020-01-13
0,0,0,0,0,云南省,0,云南省,2020-01-13
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-13
0,0,0,0,0,陕西省,0,陕西省,2020-01-13
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-13
0,0,0,0,0,青海省,0,青海省,2020-01-13
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-13
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-13
0,0,0,0,0,台湾省,0,台湾省,2020-01-13
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-13
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-13
0,0,0,0,0,北京市,0,北京市,2020-01-12
0,0,0,0,0,天津市,0,天津市,2020-01-12
0,0,0,0,0,河北省,0,河北省,2020-01-12
0,0,0,0,0,山西省,0,山西省,2020-01-12
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-12
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-12
0,0,0,0,0,吉林省,0,吉林省,2020-01-12
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-12
0,0,0,0,0,上海市,0,上海市,2020-01-12
0,0,0,0,0,江苏省,0,江苏省,2020-01-12
0,0,0,0,0,浙江省,0,浙江省,2020-01-12
0,0,0,0,0,安徽省,0,安徽省,2020-01-12
0,0,0,0,0,福建省,0,福建省,2020-01-12
0,0,0,0,0,江西省,0,江西省,2020-01-12
0,0,0,0,0,山东省,0,山东省,2020-01-12
0,0,0,0,0,河南省,0,河南省,2020-01-12
0,0,1,41,0,湖北省,0,湖北省,2020-01-12
0,0,0,0,0,湖南省,0,湖南省,2020-01-12
0,0,0,0,0,广东省,0,广东省,2020-01-12
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-12
0,0,0,0,0,海南省,0,海南省,2020-01-12
0,0,0,0,0,重庆市,0,重庆市,2020-01-12
0,0,0,0,0,四川省,0,四川省,2020-01-12
0,0,0,0,0,贵州省,0,贵州省,2020-01-12
0,0,0,0,0,云南省,0,云南省,2020-01-12
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-12
0,0,0,0,0,陕西省,0,陕西省,2020-01-12
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-12
0,0,0,0,0,青海省,0,青海省,2020-01-12
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-12
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-12
0,0,0,0,0,台湾省,0,台湾省,2020-01-12
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-12
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-12
0,0,0,0,0,北京市,0,北京市,2020-01-11
0,0,0,0,0,天津市,0,天津市,2020-01-11
0,0,0,0,0,河北省,0,河北省,2020-01-11
0,0,0,0,0,山西省,0,山西省,2020-01-11
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-11
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-11
0,0,0,0,0,吉林省,0,吉林省,2020-01-11
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-11
0,0,0,0,0,上海市,0,上海市,2020-01-11
0,0,0,0,0,江苏省,0,江苏省,2020-01-11
0,0,0,0,0,浙江省,0,浙江省,2020-01-11
0,0,0,0,0,安徽省,0,安徽省,2020-01-11
0,0,0,0,0,福建省,0,福建省,2020-01-11
0,0,0,0,0,江西省,0,江西省,2020-01-11
0,0,0,0,0,山东省,0,山东省,2020-01-11
0,0,0,0,0,河南省,0,河南省,2020-01-11
0,0,1,41,0,湖北省,0,湖北省,2020-01-11
0,0,0,0,0,湖南省,0,湖南省,2020-01-11
0,0,0,0,0,广东省,0,广东省,2020-01-11
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-11
0,0,0,0,0,海南省,0,海南省,2020-01-11
0,0,0,0,0,重庆市,0,重庆市,2020-01-11
0,0,0,0,0,四川省,0,四川省,2020-01-11
0,0,0,0,0,贵州省,0,贵州省,2020-01-11
0,0,0,0,0,云南省,0,云南省,2020-01-11
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-11
0,0,0,0,0,陕西省,0,陕西省,2020-01-11
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-11
0,0,0,0,0,青海省,0,青海省,2020-01-11
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-11
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-11
0,0,0,0,0,台湾省,0,台湾省,2020-01-11
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-11
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-11
0,0,0,0,0,北京市,0,北京市,2020-01-10
0,0,0,0,0,天津市,0,天津市,2020-01-10
0,0,0,0,0,河北省,0,河北省,2020-01-10
0,0,0,0,0,山西省,0,山西省,2020-01-10
0,0,0,0,0,内蒙古自治区,0,内蒙古自治区,2020-01-10
0,0,0,0,0,辽宁省,0,辽宁省,2020-01-10
0,0,0,0,0,吉林省,0,吉林省,2020-01-10
0,0,0,0,0,黑龙江省,0,黑龙江省,2020-01-10
0,0,0,0,0,上海市,0,上海市,2020-01-10
0,0,0,0,0,江苏省,0,江苏省,2020-01-10
0,0,0,0,0,浙江省,0,浙江省,2020-01-10
0,0,0,0,0,安徽省,0,安徽省,2020-01-10
0,0,0,0,0,福建省,0,福建省,2020-01-10
0,0,0,0,0,江西省,0,江西省,2020-01-10
0,0,0,0,0,山东省,0,山东省,2020-01-10
0,0,0,0,0,河南省,0,河南省,2020-01-10
0,0,1,41,0,湖北省,0,湖北省,2020-01-10
0,0,0,0,0,湖南省,0,湖南省,2020-01-10
0,0,0,0,0,广东省,0,广东省,2020-01-10
0,0,0,0,0,广西壮族自治区,0,广西壮族自治区,2020-01-10
0,0,0,0,0,海南省,0,海南省,2020-01-10
0,0,0,0,0,重庆市,0,重庆市,2020-01-10
0,0,0,0,0,四川省,0,四川省,2020-01-10
0,0,0,0,0,贵州省,0,贵州省,2020-01-10
0,0,0,0,0,云南省,0,云南省,2020-01-10
0,0,0,0,0,西藏自治区,0,西藏自治区,2020-01-10
0,0,0,0,0,陕西省,0,陕西省,2020-01-10
0,0,0,0,0,甘肃省,0,甘肃省,2020-01-10
0,0,0,0,0,青海省,0,青海省,2020-01-10
0,0,0,0,0,宁夏回族自治区,0,宁夏回族自治区,2020-01-10
0,0,0,0,0,新疆维吾尔自治区,0,新疆维吾尔自治区,2020-01-10
0,0,0,0,0,台湾省,0,台湾省,2020-01-10
0,0,0,0,0,香港特别行政区,0,香港特别行政区,2020-01-10
0,0,0,0,0,澳门特别行政区,0,澳门特别行政区,2020-01-10
